internship_id,company,job_title,category,location,work_mode,duration_months,duration_text,start_date,stipend_min_inr,stipend_max_inr,required_skills,description,eligibility,source_type,source_url
INT-0001,Infosys,Frontend Developer Intern,Frontend,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,8000,HTML|CSS|JavaScript|React|Git,"Frontend Developer Intern focused on practical work, mentoring, and project-based learning in Frontend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0002,TCS,React Developer Intern,Frontend,"Kochi, Kerala",Hybrid,3,3 months,,7000,12000,React|JavaScript|HTML|CSS|Git,"React Developer Intern focused on practical work, mentoring, and project-based learning in Frontend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0003,Wipro,UI Developer Intern,Frontend/UI,"Mumbai, Maharashtra",Hybrid,4,4 months,,8000,16000,HTML|CSS|JavaScript|React|Responsive Design,"UI Developer Intern focused on practical work, mentoring, and project-based learning in Frontend/UI.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0004,Accenture,Web Developer Intern,Web Development,"Bengaluru, Karnataka",Hybrid,6,6 months,,10000,13000,HTML|CSS|JavaScript|REST APIs|Git,"Web Developer Intern focused on practical work, mentoring, and project-based learning in Web Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0005,Deloitte,Backend Developer Intern,Backend,"Ahmedabad, Gujarat",On-site,2,2 months,,12000,17000,Python|FastAPI|SQL|REST APIs|Git,"Backend Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0006,IBM,Python Developer Intern,Backend,"Gurugram, Haryana",Hybrid,3,3 months,,5000,13000,Python|Django|FastAPI|SQL|Git,"Python Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0007,Microsoft,Java Developer Intern,Backend/Java,"Pune, Maharashtra",Hybrid,4,4 months,,7000,10000,Java|OOP|Spring Boot|SQL|Git,"Java Developer Intern focused on practical work, mentoring, and project-based learning in Backend/Java.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0008,Amazon,Node.js Developer Intern,Backend,"Remote, India",Remote,6,6 months,,8000,13000,Node.js|JavaScript|Express.js|REST APIs|SQL,"Node.js Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0009,Google,Full Stack Developer Intern,Full Stack,"Noida, Uttar Pradesh",On-site,2,2 months,,10000,18000,React|JavaScript|Node.js|SQL|Git,"Full Stack Developer Intern focused on practical work, mentoring, and project-based learning in Full Stack.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0010,Cognizant,Software Engineer Intern,Software Development,"Chennai, Tamil Nadu",On-site,3,3 months,,12000,15000,Python|Java|DSA|OOP|Git,"Software Engineer Intern focused on practical work, mentoring, and project-based learning in Software Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0011,HCLTech,Software Developer Intern,Software Development,"Hyderabad, Telangana",Hybrid,4,4 months,,5000,10000,Python|Java|SQL|Git|Problem Solving,"Software Developer Intern focused on practical work, mentoring, and project-based learning in Software Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0012,Tech Mahindra,Mobile App Developer Intern,Mobile,"Kochi, Kerala",Hybrid,6,6 months,,7000,15000,Kotlin|Android|REST APIs|Git|UI Design,"Mobile App Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0013,Capgemini,Android Developer Intern,Mobile,"Mumbai, Maharashtra",Hybrid,2,2 months,,8000,11000,Kotlin|Android|Jetpack Compose|REST APIs|Git,"Android Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0014,Mphasis,iOS Developer Intern,Mobile,"Bengaluru, Karnataka",Hybrid,3,3 months,,10000,15000,Swift|iOS|Xcode|REST APIs|Git,"iOS Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0015,Persistent Systems,UI/UX Designer Intern,UI/UX,"Ahmedabad, Gujarat",On-site,4,4 months,,12000,20000,Figma|Wireframing|Prototyping|User Research|UI Design,"UI/UX Designer Intern focused on practical work, mentoring, and project-based learning in UI/UX.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0016,Zoho,Product Design Intern,UI/UX,"Gurugram, Haryana",Hybrid,6,6 months,,5000,8000,Figma|Design Thinking|Prototyping|User Research|UX Design,"Product Design Intern focused on practical work, mentoring, and project-based learning in UI/UX.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0017,Freshworks,Graphic Design Intern,Design,"Pune, Maharashtra",Hybrid,2,2 months,,7000,12000,Figma|Photoshop|Illustrator|Typography|Branding,"Graphic Design Intern focused on practical work, mentoring, and project-based learning in Design.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0018,Razorpay,Data Analyst Intern,Data Analytics,"Remote, India",Remote,3,3 months,,8000,16000,Excel|SQL|Python|Data Analysis|Power BI,"Data Analyst Intern focused on practical work, mentoring, and project-based learning in Data Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0019,Swiggy,Data Science Intern,Data Science,"Noida, Uttar Pradesh",On-site,4,4 months,,10000,13000,Python|Pandas|NumPy|SQL|Machine Learning,"Data Science Intern focused on practical work, mentoring, and project-based learning in Data Science.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0020,Zomato,Data Engineering Intern,Data Engineering,"Chennai, Tamil Nadu",On-site,6,6 months,,12000,17000,Python|SQL|ETL|Data Warehousing|Git,"Data Engineering Intern focused on practical work, mentoring, and project-based learning in Data Engineering.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0021,Flipkart,Machine Learning Intern,AI/ML,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,13000,Python|Pandas|scikit-learn|Machine Learning|SQL,"Machine Learning Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0022,Paytm,AI/ML Intern,AI/ML,"Kochi, Kerala",Hybrid,3,3 months,,7000,10000,Python|PyTorch|Deep Learning|Machine Learning|NumPy,"AI/ML Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0023,PhonePe,NLP Intern,AI/ML,"Mumbai, Maharashtra",Hybrid,4,4 months,,8000,13000,Python|NLP|Transformers|PyTorch|Machine Learning,"NLP Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0024,Ola,Computer Vision Intern,AI/ML,"Bengaluru, Karnataka",Hybrid,6,6 months,,10000,18000,Python|OpenCV|PyTorch|Deep Learning|Computer Vision,"Computer Vision Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
